iter	Accuracy	Logloss
649	0.8819246145	0.2836729172
650	0.8822101656	0.2835216045
651	0.8823529412	0.2833601073
652	0.8826384923	0.2832423657
653	0.8829240434	0.283067064
654	0.8827812678	0.2829454085
655	0.8827812678	0.282725971
656	0.8827812678	0.2826139007
657	0.8833523701	0.2824011038
658	0.8837806967	0.2822147147
659	0.8836379212	0.2820368126
660	0.8834951456	0.2817830893
661	0.8836379212	0.2815993934
662	0.8836379212	0.2814926088
663	0.8836379212	0.2813865138
664	0.8839234723	0.2812239041
665	0.884351799	0.2809021725
666	0.8844945745	0.280783495
667	0.884351799	0.2806112271
668	0.884351799	0.2805410727
669	0.884351799	0.2803417582
670	0.884351799	0.2802015684
671	0.8846373501	0.2800088214
672	0.8846373501	0.2798672361
673	0.8850656768	0.2797401454
674	0.8850656768	0.2795339029
675	0.8853512279	0.2793010144
676	0.8854940034	0.2791126574
677	0.885636779	0.2789838515
678	0.8857795545	0.2788687218
679	0.8857795545	0.2787379485
680	0.885636779	0.2785335011
681	0.8857795545	0.2784471549
682	0.885636779	0.2783162233
683	0.8859223301	0.2781935664
684	0.8859223301	0.2780132909
685	0.8860651057	0.277846214
686	0.8862078812	0.2776963894
687	0.8866362079	0.277574407
688	0.8866362079	0.2773996118
689	0.8866362079	0.2772790333
690	0.8866362079	0.2771803382
691	0.886921759	0.2770572584
692	0.8870645346	0.2768857031
693	0.8872073101	0.2767140223
694	0.886921759	0.2766374801
695	0.8873500857	0.2763961354
696	0.8877784123	0.276220114
697	0.8879211879	0.2760936544
698	0.8883495146	0.2759459594
699	0.8886350657	0.2757825857
700	0.8887778412	0.2756205451
701	0.8892061679	0.2755282825
702	0.8889206168	0.2754333179
703	0.8899200457	0.2751975651
704	0.8899200457	0.2750496874
705	0.889491719	0.2748638364
706	0.8896344946	0.2746749078
707	0.8897772701	0.2745338894
708	0.8899200457	0.2744266328
709	0.8897772701	0.2743133546
710	0.8900628212	0.2740762951
711	0.8904911479	0.2739970752
712	0.890776699	0.2738854142
713	0.8909194746	0.2737539825
714	0.890776699	0.2736560495
715	0.8906339235	0.273440889
716	0.890776699	0.2733580326
717	0.8913478013	0.2731586936
718	0.8913478013	0.2730347716
719	0.8914905768	0.2729312642
720	0.8914905768	0.2727548347
721	0.8917761279	0.2725110104
722	0.8914905768	0.2723562931
723	0.8917761279	0.2722155426
724	0.8916333524	0.2720414654
725	0.892061679	0.2718945221
726	0.892061679	0.2717149565
727	0.892061679	0.271556767
728	0.892061679	0.271394176
729	0.8922044546	0.2712228279
730	0.8922044546	0.2710532943
731	0.8922044546	0.2709041868
732	0.8927755568	0.2707468829
